spp,brain,ln_brain
orang,297.7,5.713520305
orang,365,5.917955196
orang,340.2,5.84737616
orang,325.1,5.801836348
orang,400,6.009802649
orang,248,5.530303722
orang,283.5,5.66449657
orang,425.8,6.072499165
orang,470,6.171564391
orang,395,5.997185367
orang,288.5,5.682033043
orang,334.5,5.830427643
orang,340,5.846786297
orang,339,5.843831772
orang,375,5.945066595
orang,400,6.009802649
orang,340,5.846786297
orang,315.5,5.771770461
orang,306,5.741103304
orang,365,5.917955196
orang,333,5.825919497
orang,334,5.828927178
orang,400,6.009802649
orang,400,6.009802649
orang,283.5,5.66449657
orang,325.1,5.801836348
orang,339,5.843831772
orang,340.2,5.84737616
orang,381,5.960988528
orang,225,5.432677485
orang,248,5.530303722
orang,306,5.741103304
orang,400,6.009802649
orang,348,5.870114342
orang,347.5,5.868672126
orang,371,5.934309808
orang,368,5.926165834
orang,326,5.804609364
orang,422,6.063507289
orang,384,5.968855711
orang,359,5.901329499
orang,395,5.997185367
orang,322,5.792225741
orang,326,5.804609364
orang,291,5.690687633
orang,267,5.604349575
orang,279,5.648447257
orang,274.5,5.632136967
orang,283,5.662725942
orang,304,5.734525833
orang,344,5.858518135
orang,340.5,5.848260303
orang,287.5,5.67855019
orang,293,5.697557939
orang,295,5.704381507
orang,212.86,5.377041991
orang,222.2,5.420116632
orang,370,5.931602491
orang,400,6.009802649
orang,444,6.11448208
orang,129.15,4.875852526
orang,359,5.901329499
orang,343,5.855598015
orang,308.6,5.749590038
orang,341,5.849732146
orang,325,5.801527762
orang,353,5.884423582
orang,340,5.846786297
orang,315,5.770179563
orang,371.6,5.935930699
orang,267,5.604349575
orang,299.8,5.720571137
gorilla,416,6.049143405
gorilla,426.25,6.073558674
gorilla,230,5.454723662
gorilla,331.25,5.820634258
gorilla,387,5.97666167
gorilla,425.88,6.072687604
gorilla,442.26,6.110543443
gorilla,458.78,6.147328536
gorilla,458.8,6.147372262
gorilla,463.7,6.158028184
gorilla,465,6.160836367
gorilla,475,6.182178889
gorilla,500,6.233629177
gorilla,534,6.299618274
gorilla,565,6.356220882
gorilla,335.79,5.834288509
gorilla,350,5.875862556
gorilla,377.4,5.951465728
gorilla,380,5.958352361
gorilla,393,5.992093677
gorilla,409.62,6.033640741
gorilla,434.2,6.092094462
gorilla,483.2,6.199347118
gorilla,484.82,6.202704404
gorilla,496.46,6.226502248
gorilla,355,5.890090606
gorilla,380,5.958352361
gorilla,410,6.034570839
gorilla,415,6.046729299
gorilla,425,6.070612825
gorilla,450,6.127946184
gorilla,500,6.233629177
gorilla,520,6.272969933
gorilla,550,6.329231073
gorilla,560,6.347304728
gorilla,570,6.365058478
gorilla,573,6.370323901
gorilla,425,6.070612825
gorilla,416,6.049143405
gorilla,345,5.861429779
gorilla,350,5.875862556
gorilla,357,5.895725794
gorilla,405,6.022263191
gorilla,407,6.027204387
gorilla,411,6.037014349
gorilla,426.25,6.073558674
gorilla,420,6.058742146
gorilla,425,6.070612825
gorilla,370.84,5.933877128
gorilla,426.25,6.073558674
gorilla,458,6.14562172
gorilla,464.5,6.159757227
gorilla,427,6.075322039
gorilla,431,6.084674654
gorilla,469,6.169427946
gorilla,486,6.20514278
gorilla,525,6.282568673
gorilla,545,6.320070638
gorilla,605,6.424832969
gorilla,607,6.428143404
gorilla,647,6.492156234
gorilla,600,6.416508766
gorilla,292,5.694128668
gorilla,440,6.105404545
gorilla,462,6.154344042
gorilla,427,6.075322039
gorilla,430,6.082344663
gorilla,497,6.227592685
gorilla,505.4,6.244404152
gorilla,510,6.253492414
gorilla,513,6.259375485
gorilla,538.9,6.308780417
gorilla,543,6.31638291
gorilla,550,6.329231073
gorilla,560,6.347304728
gorilla,573.5,6.37119879
gorilla,531.7,6.295288645
gorilla,501,6.235633295
gorilla,435,6.09394087
gorilla,442,6.109953581
gorilla,450,6.127946184
gorilla,450,6.127946184
gorilla,451.7,6.131728385
gorilla,461,6.152170562
gorilla,469.8,6.171137466
gorilla,475,6.182178889
gorilla,478,6.188494087
gorilla,458,6.14562172
gorilla,430,6.082344663
gorilla,497,6.227592685
gorilla,505.4,6.244404152
gorilla,510,6.253492414
gorilla,513,6.259375485
gorilla,251,5.542364717
gorilla,532.5,6.296796723
gorilla,536.1,6.303555159
gorilla,543,6.31638291
gorilla,550,6.329231073
gorilla,550,6.329231073
gorilla,560,6.347304728
gorilla,573.5,6.37119879
gorilla,534.8,6.301119863
gorilla,503,6.239629558
gorilla,463,6.156512823
chimp,379,5.955709248
chimp,345.5,5.862882438
chimp,404,6.019783435
chimp,365,5.917955196
chimp,461,6.152170562
chimp,420,6.058742146
chimp,340.2,5.84737616
chimp,379.03,5.955788643
chimp,396.9,6.001998649
chimp,381,5.960988528
chimp,375.63,5.946750323
chimp,276.3,5.638692943
chimp,304,5.734525833
chimp,324.04,5.79856049
chimp,360,5.904119656
chimp,452,6.132394354
chimp,264,5.593015435
chimp,285.4,5.671196596
chimp,290,5.687234753
chimp,310,5.75413025
chimp,311.85,5.760098466
chimp,344,5.858518135
chimp,360,5.904119656
chimp,368,5.926165834
chimp,368.5,5.927527763
chimp,393,5.992093677
chimp,393,5.992093677
chimp,425.8,6.072499165
chimp,262,5.58538756
chimp,269.3,5.612953169
chimp,311,5.757360722
chimp,311.8,5.759937629
chimp,327.6,5.80952032
chimp,360,5.904119656
chimp,389.86,5.984047213
chimp,409,6.032121361
chimp,266,5.600585741
chimp,300,5.721240067
chimp,350,5.875862556
chimp,347,5.867227834
chimp,348,5.870114342
chimp,362,5.909676793
chimp,412,6.039451922
chimp,269.3,5.612953169
chimp,367,5.923436415
chimp,391,5.98697601
chimp,340,5.846786297
chimp,374.9,5.944799076
chimp,345,5.861429779
chimp,318,5.779687319
chimp,302,5.727904947
chimp,397,6.002251341
chimp,379,5.955709248
chimp,391,5.98697601
chimp,345,5.861429779
chimp,276.4,5.63905591
chimp,277,5.641230962
chimp,324,5.798436663
chimp,347,5.867227834
chimp,348,5.870114342
chimp,362,5.909676793
chimp,367,5.923436415
chimp,390,5.984407351
chimp,266,5.600585741
chimp,285.4,5.671196596
chimp,310,5.75413025
chimp,311.8,5.759937629
chimp,340,5.846786297
chimp,375,5.945066595
chimp,337.5,5.839383602
chimp,341,5.849732146
chimp,402,6.014805456
chimp,241.2,5.502416346
chimp,262.92,5.588903589
chimp,340,5.846786297
chimp,348,5.870114342
chimp,380,5.958352361
chimp,391,5.98697601
chimp,412,6.039451922
chimp,380,5.958352361
chimp,415,6.046729299
chimp,365,5.917955196
chimp,400,6.009802649
chimp,400,6.009802649
chimp,345,5.861429779
chimp,348,5.870114342
chimp,430.5,6.083510335
chimp,440,6.105404545
chimp,325,5.801527762
chimp,128,4.866880894
chimp,395,5.997185367
chimp,420,6.058742146
chimp,395,5.997185367
chimp,353,5.884423582
chimp,341,5.849732146
chimp,275,5.633962374
chimp,280,5.652036029
chimp,322,5.792225741
chimp,358,5.89853156
chimp,362,5.909676793
chimp,373,5.939702621
chimp,342,5.852669368
chimp,403,6.017297534
chimp,355,5.890090606
chimp,343,5.855598015
chimp,347,5.867227834
chimp,349,5.872992567
chimp,335,5.831925867
chimp,368,5.926165834
chimp,365,5.917955196
chimp,371,5.934309808
chimp,345,5.861429779
chimp,379,5.955709248
chimp,215,5.387075964
chimp,215,5.387075964
chimp,275,5.633962374
chimp,248,5.530303722
chimp,267,5.604349575
chimp,267,5.604349575
chimp,248,5.530303722
chimp,340,5.846786297
chimp,340,5.846786297
chimp,350,5.875862556
chimp,282,5.659175281
chimp,337,5.837896484
chimp,335,5.831925867
chimp,340,5.846786297
chimp,325,5.801527762
chimp,320,5.785976121
chimp,335,5.831925867
chimp,312,5.760580823
chimp,290,5.687234753
chimp,324,5.798436663
chimp,345,5.861429779
chimp,385,5.971464453
chimp,350,5.875862556
chimp,356,5.892912157
chimp,334,5.828927178
chimp,388,5.979250215
chimp,388,5.979250215
chimp,355,5.890090606
chimp,330,5.816841963
chimp,364,5.915203313
chimp,338,5.840868518
chimp,321,5.789105799
chimp,361,5.906902073
chimp,375,5.945066595
chimp,370,5.931602491
chimp,374,5.942388193
chimp,356,5.892912157
chimp,319,5.782836649
chimp,370,5.931602491
chimp,346,5.864332996
chimp,270,5.615557074
chimp,318,5.779687319
chimp,340,5.846786297
chimp,347,5.867227834
chimp,348,5.870114342
chimp,362,5.909676793
chimp,379,5.955709248
chimp,412,6.039451922
chimp,381,5.960988528
chimp,379,5.955709248
chimp,367,5.923436415
chimp,376,5.947737863
chimp,430.5,6.083510335
chimp,440,6.105404545
chimp,302,5.727904947
chimp,365,5.917955196
chimp,316,5.773358839
chimp,391,5.98697601
chimp,375,5.945066595
chimp,376,5.947737863
chimp,345,5.861429779
chimp,335,5.831925867
chimp,363,5.912443859
chimp,326,5.804609364
chimp,437,6.098542074
chimp,362,5.909676793
human,1292.5,7.186261514
human,1330.2,7.215100492
human,1356,7.23436917
human,1366,7.241739231
human,1390,7.259209525
human,1344,7.225453016
human,1437,7.292565165
human,1527,7.353498514
human,1461,7.309179387
human,1500,7.335603993
human,1656,7.434846767
human,1321,7.208138968
human,1302,7.193607145
human,1370,7.244672159
human,1219,7.127534841
human,1212,7.121758251
human,1280,7.17651352
human,1360,7.237323696
human,1220,7.128357359
human,1431,7.288368252
human,1224,7.131640703
human,1375,7.2483263
human,1235,7.140614872
human,1360,7.237323696
human,1230,7.136545655
human,1102.5,7.026776869
human,1360,7.237323696
human,1400,7.266399955
human,1260,7.160716962
human,1441,7.295353383
human,1528,7.354155182
human,1008,6.936890434
human,1247,7.150314165
human,1205,7.115948202
human,1327,7.212684568
human,1280,7.17651352
human,1100,7.024499772
human,1270,7.168646337
human,1375,7.2483263
human,1190,7.103383603
human,1400,7.266399955
human,1480,7.322139889
human,1500,7.335603993
human,1310,7.199751487
human,1570,7.381354105
human,1248,7.151118222
human,1490,7.328894532
human,1310,7.199751487
human,1411,7.274250346
human,1280,7.17651352
human,1365,7.241004657
human,1377,7.249784237
human,1360,7.237323696
human,1410,7.273539207
human,1348,7.228433882
human,1540,7.362001851
human,1274,7.171800618
human,1350,7.229921
human,1130,7.051489581
human,1420,7.280628005
human,1265,7.164689485
human,1235,7.140614872
human,1240,7.144667648
